,id,gradeLevel,questionType,theme,question,optionA,optionB,optionC,optionD,answer,explanation,image,questionAudio,optionsAudio,configJson,isActive,note
1,low001,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),請問 AI（人工智慧）到底是什麼呢？,裡面躲著一個聰明的真人,是一種會學習的科技工具,是一種真正的魔法,,B,AI 是一個聰明的機器，不是魔法，而是利用電腦模擬人類智慧，是一種會學習的科技工具。,,,,,,
2,low002,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),和 AI 聊天時，絕對「不可以」告訴它什麼事情？,今天的午餐吃了什麼,我喜歡看的卡通名稱,我的真實姓名、住址和電話,,C,在網路上傳送訊息可能會被壞人偷看或被 AI 記錄，保護自己的個資（姓名、住址、電話）是最重要的好習慣。,,,,,,
3,low003,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在網路上看到一張「狗狗長出翅膀在天上飛」的照片，你應該怎麼想？,哇！狗狗真的會飛,有人去天空拍到的真實照片,可能是用AI合成的假照片，不能隨便相信,,C,像「深偽」技術可能會做出合成像真的一樣的照片，所以我們不能什麼都相信，要學會判斷與查證。,,,,,,
4,low004,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),遇到不會寫的作業，應該怎麼跟 AI（例如教育部 e 度）合作呢？,請AI直接給我答案，我照抄就好,請AI當「解釋小幫手」，教我怎麼思考,都不寫，明天去學校抄同學的,,B,要把 AI 當成學習的好夥伴，學習新知識時多問為什麼，而不是把它當作直接給答案的機器，這樣才不會讓我們的「思考肌肉」變無力。,,,,,,
5,low005,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),如果你想練習說英文，可以使用哪一種工具當作你的學習好幫手呢？,直接拿同學的英文考卷來抄,使用教育部「酷英網」的英語聊天機器人一起練習,叫 AI 直接幫我考英文聽力,,B,我們可以利用專為教育設計的工具（例如酷英網的聊天機器人）作為外國學習夥伴，來練習外語口說對話。,,,,,,
6,low006,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),在網路上和 AI 聊天時，下面哪一件事情是絕對「不可以」告訴 AI 的？,我今天早餐吃了三明治,我家的真實地址和密碼,我喜歡的卡通人物是誰,,B,姓名、住址、電話和密碼等都是重要的個人秘密資訊，絕對不能告訴 AI，以免個人隱私資料外洩被壞人利用。,,,,,,
7,low007,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在網路上看到一張「大象在雲端上跳舞」的照片，你應該有什麼想法？,哇！大象真的會飛，趕快傳給全班看,這可能是 AI 做出來的假照片，不要輕易相信,大象本來就很輕，所以可以在雲上跳舞,,B,像「深偽技術」可能會做出合成得像真的一樣的假照片，看到奇怪的圖片時要保持懷疑，不要輕易相信和轉傳。,,,,,,
8,low008,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),在自然課遇到不懂的昆蟲問題，你可以怎麼用 AI 幫忙？,請 AI 給我所有考卷的答案,把 AI 當成「好學小幫手」，問它更多關於昆蟲的知識,叫 AI 去幫我抓昆蟲,,B,AI 是一個很好的學習夥伴，我們可以把它當成「好奇心助手」，遇到不懂的新知識時多問為什麼，幫助我們學得更好。,,,,,,
9,low009,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),老師出了一份畫圖的暑假作業，你想請 AI 幫忙，哪一種做法才是對的？,自己先思考想畫什麼，再請 AI 一起幫忙找靈感,直接叫 AI 畫完，當成自己的作業交給老師,叫 AI 幫全班同學畫作業,,A,我們應該先有自己的原創想法，再讓 AI 成為協助我們的工具，而且絕對不能直接把 AI 的作品當成自己的交出去。,,,,,,
10,low010,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),遇到 AI 給你的答案看起來怪怪的，甚至跟你學過的不一樣時，你應該怎麼做？,完全相信 AI ，因為 AI 最聰明,懷疑它，當個小偵探去查查看有沒有錯，並問老師,覺得好玩，馬上傳給別人看,,B,AI 有時候也會犯錯或產生幻覺，所以當我們覺得答案有問題時，要勇敢當個小偵探去多方查證，不要完全依賴 AI。,,,,,,
11,low011,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),跟 AI 聊天時，如果不小心把自己的家庭住址和密碼告訴它，可能會發生什麼事？,會得到 AI 送的禮物,個人隱私資料可能會洩漏出去被壞人利用，非常危險,什麼事都不會發生,,B,在網路上傳送訊息可能會被記錄下來，把個人密碼或住址等機密資訊告訴 AI，可能會造成隱私外洩的危險。,,,,,,
12,low012,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),關於 AI（人工智慧）是怎麼學會認得「貓咪」或「狗狗」的，哪一個說法是對的？,它是靠著看過很多很多動物的照片，慢慢學會分辨的,它是魔法箱子，天生就認識世界上所有的動物,是因為電腦裡面躲著一個小精靈在幫忙看,,A,AI 學會分辨事物的方法，就像我們人類看圖卡一樣，需要給它很多資料（照片）進行「先學習、再判斷」，它才能學會。,,,,,,
13,low013,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),和 AI 聊天或問問題時，如果你把自己的「真實姓名和住家地址」告訴它，這是一個好習慣嗎？,是好習慣，因為 AI 是我的好朋友,不是好習慣，因為這屬於個人隱私秘密，可能會被洩漏出去,沒關係，因為 AI 會幫我保密,,B,在網路上跟 AI 聊天時絕對不可以透露自己的個資（如姓名、住址、密碼），因為這些機密資訊可能會被記錄甚至洩漏，非常危險。,,,,,,
14,low014,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),老師說 AI 就像一個很聰明的朋友，但它「最不可能」發生哪一種情況？,會幫忙查資料和寫故事,永遠不會說錯話，答案一定百分之百正確,有時候會弄錯，甚至把沒發生的事說得像真的一樣,,B,AI 雖然聰明，但它並不是萬能的，有時候也會出錯或產生幻覺，所以我們不能百分之百相信它提供的所有資訊。,,,,,,
15,low015,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),在網路上使用 AI 時，為了保護自己，我們應該養成哪一種「最重要」的好習慣？,把家裡的地址告訴 AI ，讓它幫忙買東西,絕對不透露自己的真實姓名、學校和密碼等秘密資訊,把同學的照片傳給 AI 讓它看,,B,在網路上傳送訊息可能會被記錄，絕對不可以把姓名、住址、密碼等個人秘密資訊告訴 AI，這是保護自己最重要的好習慣。,,,,,,
16,low016,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),寫作業時，如果每次都請 AI 直接給你正確答案，而自己都不去動腦想，最後會發生什麼事？,自己會變得越來越聰明,知識的箱子會一直是空的，大腦沒有練習思考,會變成全班最厲害的小神童,,B,知識就像疊積木，過度依賴 AI 直接給答案而不自己思考，腦袋就沒有得到鍛鍊，會失去獨立思考的能力。,,,,,,
17,low017,low,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),看到一個好玩的 AI 網站，但它要求輸入電話和電子信箱才能用，你應該怎麼辦？,為了玩，馬上輸入自己的電話,隨便拿別人的電話輸入,先問過爸爸媽媽或老師，不隨便給出個人資料,,C,年紀小的學生隨便在網路上輸入個人資料的風險很高。使用 AI 工具前，一定要先經過家長或老師的同意與指導。,,,,,,
18,low018,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),想要辨別一張圖片是不是 AI 畫出來的假照片，我們可以像小偵探一樣看哪裡？,看看照片有沒有很多愛心,找找看有沒有不合理的地方，像是手指頭數量不對或歪七扭八的背景,看看照片是不是正方形的,,B,AI 畫圖時常會在小地方出錯，例如長出六根手指或背景線條歪斜，找尋這些不合理的地方是破案的關鍵。,,,,,,
19,low019,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),跟 AI 聊天的時候，哪一件事情是「絕對不可以」做的？,問 AI 今天天氣好不好,把自己的真實名字和住家地址告訴 AI ,請 AI 講一個笑話,,B,為了保護自己的安全，絕對不可以把姓名、住址、電話或密碼等秘密資訊告訴 AI，以免個人資料被記錄或外洩。,,,,,,
20,low020,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),如果所有的功課都叫 AI 幫你寫，你的大腦會發生什麼事？,大腦會變得超級聰明,大腦沒有練習思考，會慢慢忘記怎麼自己解決問題,老師會發獎品給你,,B,知識就像疊高積木，如果總是讓 AI 寫功課，自己的大腦就沒有機會練習思考，長久下來會失去獨立解決問題的能力。,,,,,,
21,low021,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),如果有一個 AI 網站說要輸入你的「家庭住址和電話」才能玩遊戲，你應該怎麼做？,馬上輸入，因為我真的很想玩遊戲,隨便輸入同學的資料,先不輸入，趕快去問老師或爸爸媽媽,,C,網路上的平臺可能會記錄或洩漏我們的個資。年紀小的學生遇到要求輸入個資的情況，一定要先詢問師長，保護自己的隱私。,,,,,,
22,low022,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),老師請大家畫一張校園風景圖，你想用 AI 幫忙，哪種做法是「不對的」（紅燈行為）？,請 AI 提供點子，我自己再動手畫,叫 AI 直接畫完，然後跟老師說這是我自己畫的,和 AI 討論我想畫的顏色和東西,,B,AI 應該是輔助學習的工具，不能直接把 AI 生成的作品當作自己的原創交給老師，這樣做是不誠實的行為。,,,,,,
23,low023,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),遇到一個新出現的 AI 聊天機器人，你可以告訴它什麼資訊比較安全？,我最喜歡看卡通和畫畫,我家的地址和爸爸的電話,我的真實姓名和密碼,,A,姓名、住址、電話和密碼等是個人重要的機密資訊，絕對不能在網路上告訴 AI。只有分享一般的興趣喜好才是安全的。,,,,,,
24,low024,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 最像下面哪一種工具？,會幫忙做事的電腦工具,真正住在電腦裡的人,會自己長大的寵物,,A,AI 是用資料和程式訓練出來的工具，不是真人，也不會像生物一樣長大。,,,,,,
25,low025,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),當你和 AI 聊天時，最正確的想法是？,AI 是真人在電腦後面回你,AI 是根據資料算出回應,AI 什麼都親眼看過,,B,AI 的回答來自資料與運算，不代表真的有人在後面打字。,,,,,,
26,low026,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 為什麼有時候會回答錯？,因為 AI 也會做夢,因為 AI 不是每次都會判斷正確,因為 AI 故意騙人,,B,AI 可能根據不完整或有錯的資料回答，所以不一定都正確。,,,,,,
27,low027,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),下面哪一句最適合介紹 AI？,AI 是幫助我們學習的工具,AI 是每題都百分之百對,AI 比老師更懂你,,A,AI 可以協助學習，但不能保證全對，也不能取代老師與自己的思考。,,,,,,
28,low028,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 能回答問題，主要是因為它？,吃很多電才變聰明,看過很多資料並學習規律,會偷偷聽大家說話,,B,AI 是從大量資料中找出規律來產生回答，不是靠偷聽。,,,,,,
29,low029,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),看到一張很像真的照片，但內容怪怪的，先怎麼做？,立刻傳給同學,先停下來查一查,馬上相信是真的,,B,看到可疑內容要先查證，不要急著分享。,,,,,,
30,low032,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),如果影片裡的人嘴型和聲音怪怪的，可能表示？,影片可能被修改過,一定是外星人,一定是手機壞掉,,A,嘴型、表情、光影不自然，可能是合成或剪接過。,,,,,,
31,low033,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),對待網路上的 AI 圖片，哪個想法最好？,看起來漂亮就一定是真的,還是要想想來源和內容,網路上的都不會錯,,B,AI 圖片可能很逼真，所以仍要注意來源與真實性。,,,,,,
32,low034,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),AI 告訴你『企鵝會在樹上築巢』，你應該？,直接寫進作業,查課本或問老師,跟同學說一定是真的,,B,遇到怪怪的答案要再次查證，不能直接照抄。,,,,,,
33,low035,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),下面哪個是查核資訊的好方法？,只看一個網站,看課本、老師或可信網站,問不認識的網友就好,,B,查核最好比對多個可信來源，例如課本、老師與政府或學校網站。,,,,,,
34,low036,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),如果 AI 的答案和課本不同，先做什麼？,把課本丟掉,再查一次原因,兩個都不看,,B,不同來源有差異時，要先查證，而不是立刻選一邊。,,,,,,
35,low038,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),老師說『先自己想，再用 AI 幫忙』，意思是？,先有自己的想法,完全不要動腦,讓 AI 替你全部完成,,A,先自己思考，才能更知道 AI 回答是否合理。,,,,,,
36,low041,low,single_choice,一、 AI 認知與資訊素養 (提示詞工程),下面哪個提示比較完整？,寫一首詩,寫一首關於春天、四句、給小學生讀的詩,快點寫,,B,有主題、長度和對象的提示更完整。,,,,,,
37,low042,low,single_choice,一、 AI 認知與資訊素養 (提示詞工程),想讓 AI 解釋『氣候』，加上哪個條件最好？,用一年級聽得懂的方式,越難越好,不用解釋,,A,指定對象與程度，能讓回答更符合需求。,,,,,,
38,low044,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),下面哪一種最適合請 AI 幫忙？,解釋看不懂的課文,幫你在考試作弊,替你和同學吵架,,A,AI 適合拿來輔助學習，不適合做違規或傷害他人的事。,,,,,,
39,low046,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),用 AI 學英文時，哪個方法比較好？,請它示範單字句子,只抄答案不讀,請它代替你上課,,A,AI 可作為語言練習工具，但還是需要自己練習。,,,,,,
40,low047,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),如果 AI 幫你整理重點，接下來最好？,自己再讀一次,完全不看,立刻交作業,,A,AI 整理後仍需自己確認，才能真正學會。,,,,,,
41,low048,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),AI 比較像哪一種學習幫手？,會陪你練習的助教,會幫你代考的人,會幫你偷看答案的人,,A,AI 是輔助學習的工具，不是代替你完成一切的人。,,,,,,
42,low049,low,single_choice,二、 學習運用與正向協助 (創意激發),想寫故事卡住時，可以請 AI 幫忙？,想幾個故事開頭,整篇直接交出去,代替你做所有決定,,A,AI 可以協助發想，但作品仍要加入自己的想法。,,,,,,
43,low051,low,single_choice,二、 學習運用與正向協助 (創意激發),使用 AI 做創作時，最好怎麼做？,加入自己的點子,全部照抄,假裝完全都是自己沒用 AI,,A,好的創作是把 AI 當靈感助手，而不是完全照搬。,,,,,,
44,low052,low,single_choice,二、 學習運用與正向協助 (創意激發),哪個做法最能培養創意？,看 AI 建議後再修改成自己的作品,只選第一個答案,什麼都不改,,A,看過建議後再改成自己的版本，才能真正發揮創意。,,,,,,
45,low053,low,single_choice,二、 學習運用與正向協助 (創意激發),AI 幫忙想歌詞時，你還要做什麼？,挑選和修改內容,直接說都是自己想的,完全不看,,A,AI 產生的內容仍需自己挑選、判斷與調整。,,,,,,
46,low054,low,single_choice,二、 學習運用與正向協助 (資料整理與摘要),文章很長時，AI 可以幫忙做什麼？,整理重點,把考試取消,幫你不用閱讀,,A,AI 可以協助摘要，但你還是要閱讀與確認內容。,,,,,,
47,low057,low,single_choice,二、 學習運用與正向協助 (資料整理與摘要),AI 整理資料最好的用途是？,幫助自己理解,讓自己完全不思考,取代所有閱讀,,A,摘要是幫助理解的工具，不是停止思考的按鈕。,,,,,,
48,low059,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),下面哪個資料不該輸入 AI？,自己的住址,今天的天氣,喜歡的顏色,,A,住址屬於個人敏感資訊，不應輸入。,,,,,,
49,low060,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),如果 AI 要你填真實姓名和電話，最好怎麼做？,先問家長或老師,馬上全填,順便寫同學的,,A,遇到個資蒐集要特別小心，先詢問可信任的大人。,,,,,,
50,low061,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),哪一個資訊比較安全，可以拿來當練習題材？,虛構角色的小故事,自己的學號,家裡的密碼,,A,用虛構情境最安全，不會洩漏個人資料。,,,,,,
51,low062,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),為什麼不能把學校、班級、地址都告訴 AI？,可能讓隱私外洩,因為 AI 會生氣,因為鍵盤會壞,,A,能辨識身分的資訊外流，可能帶來風險。,,,,,,
52,low063,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),使用 AI 時保護自己，最重要的是？,不亂給個人資料,把所有祕密都說出來,借別人帳號,,A,保護個資是安全使用 AI 的基本原則。,,,,,,
53,low064,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),老師要你寫心得，哪個做法比較誠實？,自己先想，再請 AI 幫忙修句子,叫 AI 全部寫完直接交,抄同學再改幾個字,,A,自己的作業要有自己的思考，AI 只能在規定內協助。,,,,,,
54,low065,low,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),如果 AI 說『只有男生適合當工程師』，你應該？,知道這可能有偏見,馬上相信,到處取笑別人,,A,AI 可能帶有偏見，應尊重每個人並多方思考。,,,,,,
55,low066,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),作業有使用 AI 幫忙時，較好的做法是？,依老師規定說明怎麼用,假裝完全沒用過,叫同學幫你保密,,A,誠實說明工具用途，才符合學習倫理。,,,,,,
56,low067,low,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),看到 AI 只畫某一種膚色的人物，代表什麼？,可能資料不夠多元,世界上只有一種人,畫圖一定都這樣,,A,AI 可能因資料偏差而忽略不同文化與族群。,,,,,,
57,low068,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),下面哪個行為不適合？,用 AI 幫忙想大綱,用 AI 代寫整份作業,用 AI 練習造句,,B,代寫作業違反誠實與學習目的。,,,,,,
58,low069,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),一直玩 AI 到很晚，最可能會怎樣？,影響休息和上課精神,一定變更聰明,眼睛會變成電腦,,A,過度使用可能影響睡眠、視力與生活作息。,,,,,,
59,low070,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),用 AI 學習時，哪個習慣最好？,用一段時間就休息一下,飯也不吃一直用,不和任何人說話,,A,適度休息、保持作息，才能健康使用科技。,,,,,,
60,low071,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),除了和 AI 對話，我們還需要？,和家人同學互動,只跟機器說話,什麼都交給 AI,,A,實體互動與自己思考仍然很重要。,,,,,,
61,low072,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),如果你越來越什麼都想先問 AI，較好的做法是？,先自己想一想再問,完全不想,把所有決定都交給 AI,,A,先自己思考，再把 AI 當輔助，才能培養能力。,,,,,,
62,low073,low,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),健康使用 AI 的方式是？,學習、休息、運動都要兼顧,整天只看螢幕,不睡覺也要用,,A,科技使用要和休息、運動、人際互動取得平衡。,,,,,,
63,mid001,mid,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),為什麼請 AI 畫「游泳選手」時，它可能會畫出又高又壯的人，而畫不出較瘦小的選手呢？,因為AI討厭瘦小的人,因為AI學到的資料大多是高壯的選手，產生了「刻板印象」,因為只有男生才能當游泳選手,因為AI壞掉了，無法畫出不同體型的人,B,AI 學習了網路上成千上萬的資料，如果網路上大部分都把游泳選手畫成又高又壯，AI 就會學到這個偏見，以為這就是事實。,,,,,,
64,mid002,mid,single_choice,一、 AI 認知與資訊素養 (批判性思考),如果 AI 給你的答案聽起來很厲害，但卻是根本沒發生過或錯誤的事情，這稱為什麼現象？,AI魔法,AI幻覺,AI變身,AI讀心術,B,AI 有時候會自己以為是或犯錯，產生出一聽起來很厲害卻是錯誤的答案，這叫做「AI幻覺」。,,,,,,
65,mid003,mid,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),在使用 AI 幫助完成報告時，哪一種行為是「紅燈」（絕對不能做）的行為？,用AI幫忙檢查自己的錯字,把AI代寫的文章全部當作自己的作品交出去,依規定註明有使用AI協助構思,請AI解釋不懂的生字,B,整篇代寫並直接當作自己原創作品繳交，這違反了誠信和規則，是絕對不能做的紅燈行為。,,,,,,
